task_id,pattern,difficulty,config,model,model_key,pass,reward,steps,delegations,tokens_in,tokens_cached,tokens_out,cost_usd,wallclock_s,terminal_reason,commit,run_id
2004_easy_01_buy_only_baseline,01_buy_only_baseline,easy,A_pi,z-ai/glm-5.1,big,True,100.0,13,0,192655,144896,16132,0.157965,755.53,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2014_easy_02_buy_only_immediate_invoicing,02_buy_only_immediate_invoicing,easy,A_pi,z-ai/glm-5.1,big,True,100.0,17,0,420503,303936,21604,0.303547,348.38,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2017_easy_03_buy_only_fixed_downpayment,03_buy_only_fixed_downpayment,easy,A_pi,z-ai/glm-5.1,big,False,22.84,13,0,186941,151040,18783,0.154959,249.04,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2024_easy_04_buy_only_percentage_downpayment,04_buy_only_percentage_downpayment,easy,A_pi,z-ai/glm-5.1,big,True,100.0,12,0,202348,152576,19643,0.176202,557.53,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2035_medium_05_screened_buy_only_all_seeded,05_screened_buy_only_all_seeded,medium,A_pi,z-ai/glm-5.1,big,True,100.0,17,0,234845,182272,16231,0.173168,711.99,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2039_medium_05_screened_buy_only_all_seeded,05_screened_buy_only_all_seeded,medium,A_pi,z-ai/glm-5.1,big,True,100.0,11,0,170112,137216,13544,0.127192,166.94,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2042_medium_06_screened_buy_only_mixed_seeded,06_screened_buy_only_mixed_seeded,medium,A_pi,z-ai/glm-5.1,big,True,100.0,11,0,115131,87040,13116,0.107701,590.51,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2050_medium_06_screened_buy_only_mixed_seeded,06_screened_buy_only_mixed_seeded,medium,A_pi,z-ai/glm-5.1,big,False,0.0,17,0,136927,112640,9014,0.092655,643.53,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2057_medium_07_screened_buy_only_mixed_seeded_invoicing,07_screened_buy_only_mixed_seeded_invoicing,medium,A_pi,z-ai/glm-5.1,big,True,100.0,14,0,182725,122176,14601,0.162701,433.41,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2058_medium_07_screened_buy_only_mixed_seeded_invoicing,07_screened_buy_only_mixed_seeded_invoicing,medium,A_pi,z-ai/glm-5.1,big,True,100.0,20,0,232270,168576,13401,0.172769,409.81,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2065_medium_08_single_bom_single_workcenter,08_single_bom_single_workcenter,medium,A_pi,z-ai/glm-5.1,big,False,20.38,54,0,2269522,1999424,63652,1.060251,1255.34,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2070_medium_08_single_bom_single_workcenter,08_single_bom_single_workcenter,medium,A_pi,z-ai/glm-5.1,big,False,22.08,42,0,2189844,1849792,55813,1.082336,1197.03,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2075_medium_09_single_bom_lowest_cost,09_single_bom_lowest_cost,medium,A_pi,z-ai/glm-5.1,big,True,99.84,25,0,1011443,756032,33875,0.632874,572.32,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2086_medium_10_single_bom_split_by_capacity,10_single_bom_split_by_capacity,medium,A_pi,z-ai/glm-5.1,big,False,20.31,31,0,1024592,817152,40325,0.612275,645.16,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2097_hard_11_restricted_subassembly_qualified_workcenters,11_restricted_subassembly_qualified_workcenters,hard,A_pi,z-ai/glm-5.1,big,False,19.09,26,0,820806,646400,46622,0.555632,541.28,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2109_medium_12_single_subassembly_lowest_cost,12_single_subassembly_lowest_cost,medium,A_pi,z-ai/glm-5.1,big,False,20.0,22,0,763674,513344,50943,0.637273,1333.38,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2122_medium_13_single_subassembly_qualified_workcenters,13_single_subassembly_qualified_workcenters,medium,A_pi,z-ai/glm-5.1,big,False,20.0,35,0,1383732,1019200,43555,0.870281,681.65,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2130_medium_14_single_subassembly_shared_overflow_capacity,14_single_subassembly_shared_overflow_capacity,medium,A_pi,z-ai/glm-5.1,big,False,19.55,23,0,676007,497984,43778,0.514198,858.92,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
